Year,Week,Rain,Cases
1990,17,1.77428571428571,4
1990,18,1.58285714285714,5
1990,19,6.61142857142857,4
1990,20,1.97,3
1990,21,0.224285714285714,6
1990,22,2.44285714285714,2
1990,23,0.394285714285714,4
1990,24,19.2928571428571,5
1990,25,3.39857142857143,10
1990,26,3.13428571428571,6
1990,27,3.86571428571429,8
1990,28,1.10285714285714,2
1990,29,9.24714285714286,6
1990,30,5.12285714285714,17
1990,31,2.88142857142857,23
1990,32,9.25571428571429,13
1990,33,9.57,21
1990,34,5.84857142857143,28
1990,35,2.3,24
1990,36,11.0457142857143,20
1990,37,19.5485714285714,40
1990,38,7.36428571428572,27
1990,39,5.19428571428571,42
1990,40,1.40428571428571,33
1990,41,17.2985714285714,43
1990,42,14.9942857142857,37
1990,43,24.87,57
1990,44,2.44428571428571,71
1990,45,5.32285714285714,44
1990,46,0.444285714285714,56
1990,47,5.07857142857143,53
1990,48,3.71,52
1990,49,0,47
1990,50,7.49285714285714,26
1990,51,0,27
1990,52,14.0685714285714,21
1991,1,1.98125,21
1991,2,0,26
1991,3,0,34
1991,4,0,37
1991,5,0,17
1991,6,2.57857142857143,19
1991,7,0,25
1991,8,4.54142857142857,18
1991,9,0,21
1991,10,0,17
1991,11,0,17
1991,12,0,16
1991,13,1.84571428571429,16
1991,14,0.857142857142857,15
1991,15,0,23
1991,16,8.85,16
1991,17,2.19142857142857,17
1991,18,4.03142857142857,12
1991,19,1.02285714285714,17
1991,20,7.34857142857143,10
1991,21,7.62714285714286,15
1991,22,1.38571428571429,19
1991,23,1.47571428571429,21
1991,24,5.44571428571429,14
1991,25,10.4628571428571,18
1991,26,1.95,13
1991,27,3.69,14
1991,28,0,18
1991,29,12.1114285714286,23
1991,30,1.14142857142857,25
1991,31,7.54714285714286,62
1991,32,0.335714285714286,60
1991,33,6.69,76
1991,34,8.35142857142857,66
1991,35,9.24285714285714,64
1991,36,2.66714285714286,68
1991,37,4.88571428571429,89
1991,38,6.14714285714286,92
1991,39,6.9,140
1991,40,8.45857142857143,116
1991,41,0.47,142
1991,42,3.93571428571429,129
1991,43,10.6042857142857,140
1991,44,9.14142857142857,140
1991,45,11.2471428571429,127
1991,46,0,129
1991,47,3.74571428571429,169
1991,48,1.30285714285714,141
1991,49,0,108
1991,50,0,78
1991,51,0,70
1991,52,0,81
1992,1,4.21,104
1992,2,27.5057142857143,90
1992,3,0,85
1992,4,0,55
1992,5,0,53
1992,6,0,65
1992,7,0,33
1992,8,0,38
1992,9,0,59
1992,10,3.31714285714286,40
1992,11,0,37
1992,12,0,29
1992,13,15.46,30
1992,14,8.18,30
1992,15,9.65857142857143,28
1992,16,5.43142857142857,23
1992,17,1.94857142857143,24
1992,18,1.79142857142857,29
1992,19,0.617142857142857,26
1992,20,8.95428571428572,23
1992,21,17.9471428571429,20
1992,22,15.81,19
1992,23,4.69857142857143,20
1992,24,9.10714285714286,26
1992,25,2.01142857142857,29
1992,26,6.68,31
1992,27,0.408571428571429,28
1992,28,12.0414285714286,26
1992,29,6.23571428571429,32
1992,30,4.37571428571429,35
1992,31,5.30857142857143,33
1992,32,11.5228571428571,30
1992,33,11.0328571428571,52
1992,34,3.18571428571429,59
1992,35,8.69571428571429,67
1992,36,2.28285714285714,65
1992,37,7.12285714285714,74
1992,38,10.3542857142857,70
1992,39,15.1314285714286,61
1992,40,5.53571428571429,53
1992,41,3.00714285714286,76
1992,42,1.37,61
1992,43,6.85571428571429,57
1992,44,12.2242857142857,44
1992,45,7.66714285714286,34
1992,46,4.96714285714286,47
1992,47,5.53,60
1992,48,6.94285714285714,60
1992,49,15.5414285714286,53
1992,50,0,36
1992,51,0,31
1992,52,3.92571428571429,30
1993,1,0,32
1993,2,2.90428571428571,28
1993,3,0,33
1993,4,0,33
1993,5,10.8528571428571,35
1993,6,0,22
1993,7,2.10142857142857,13
1993,8,0,13
1993,9,0,21
1993,10,0,17
1993,11,1.38285714285714,11
1993,12,3.85714285714286,8
1993,13,0,8
1993,14,1.07,6
1993,15,0.71,6
1993,16,18.5171428571429,7
1993,17,2.8,12
1993,18,7.3,17
1993,19,2.61428571428571,10
1993,20,4.04428571428571,10
1993,21,6.41428571428571,18
1993,22,13.2528571428571,19
1993,23,1.38428571428571,12
1993,24,3.98714285714286,22
1993,25,10.0885714285714,12
1993,26,5.17,21
1993,27,5.35571428571429,18
1993,28,3.67428571428571,16
1993,29,7.94428571428571,16
1993,30,9.64714285714286,22
1993,31,2.61857142857143,17
1993,32,1.31285714285714,25
1993,33,0.917142857142857,23
1993,34,14.7171428571429,12
1993,35,1.12142857142857,25
1993,36,6.19714285714286,28
1993,37,5.24857142857143,27
1993,38,9.30714285714286,18
1993,39,10.73,23
1993,40,4.78571428571429,23
1993,41,1.14428571428571,29
1993,42,0,38
1993,43,9.87,36
1993,44,0.14,43
1993,45,0,46
1993,46,0,31
1993,47,14.2871428571429,25
1993,48,1.09857142857143,40
1993,49,1.14142857142857,31
1993,50,0,38
1993,51,7.54,30
1993,52,0.665714285714286,22
1994,1,12.6,31
1994,2,0,26
1994,3,0,35
1994,4,0,36
1994,5,0,39
1994,6,0,25
1994,7,0,31
1994,8,0,37
1994,9,0,33
1994,10,0,25
1994,11,1.02142857142857,24
1994,12,0,18
1994,13,6.66,23
1994,14,0,13
1994,15,0,18
1994,16,0,14
1994,17,0,17
1994,18,9.36428571428572,22
1994,19,0.757142857142857,13
1994,20,1.58,24
1994,21,4.36714285714286,31
1994,22,0.941428571428571,34
1994,23,0.837142857142857,31
1994,24,6.78571428571429,31
1994,25,5.90428571428571,38
1994,26,0,49
1994,27,2.72,42
1994,28,2.68428571428571,49
1994,29,0.405714285714286,55
1994,30,6.03714285714286,80
1994,31,0.138571428571429,84
1994,32,5.28571428571429,72
1994,33,4.61714285714286,89
1994,34,1.24,115
1994,35,3.16571428571429,179
1994,36,7.94857142857143,202
1994,37,6.43571428571429,272
1994,38,6.16285714285714,302
1994,39,9.11571428571429,395
1994,40,0.824285714285714,426
1994,41,0.691428571428571,461
1994,42,7.12285714285714,381
1994,43,15.5285714285714,333
1994,44,6.63285714285714,353
1994,45,0.675714285714286,410
1994,46,7.82142857142857,364
1994,47,1.69,359
1994,48,2.93,288
1994,49,6.74857142857143,221
1994,50,0,149
1994,51,0,112
1994,52,0.75,154
1995,1,0,91
1995,2,5.42714285714286,72
1995,3,0,56
1995,4,0,46
1995,5,0,37
1995,6,0,26
1995,7,0,17
1995,8,0,17
1995,9,0,20
1995,10,0.877142857142857,11
1995,11,1.89857142857143,7
1995,12,0,16
1995,13,0,14
1995,14,0,16
1995,15,0.775714285714286,5
1995,16,0.92,2
1995,17,0,6
1995,18,3.35428571428571,5
1995,19,6.02857142857143,4
1995,20,36.5271428571429,3
1995,21,17.8928571428571,4
1995,22,27.5028571428571,16
1995,23,0.757142857142857,8
1995,24,5.91714285714286,7
1995,25,0.291428571428571,10
1995,26,5.88285714285714,14
1995,27,3.61857142857143,7
1995,28,5.10285714285714,9
1995,29,13.2285714285714,11
1995,30,8.59428571428571,23
1995,31,4.4,17
1995,32,0.094285714285714,19
1995,33,9.88857142857143,24
1995,34,6.44428571428571,17
1995,35,2.89,28
1995,36,5.49428571428571,40
1995,37,16.9257142857143,33
1995,38,3.83714285714286,31
1995,39,10.1442857142857,33
1995,40,7.55571428571429,29
1995,41,6.64428571428572,30
1995,42,9.07285714285714,36
1995,43,5.03,48
1995,44,0,40
1995,45,3.55142857142857,28
1995,46,12.9271428571429,36
1995,47,0.967142857142857,19
1995,48,1.92,34
1995,49,0,23
1995,50,0,17
1995,51,3.68285714285714,17
1995,52,9.98285714285714,23
1996,1,0.705555555555555,14
1996,2,10.0971428571429,20
1996,3,8.66714285714286,13
1996,4,0,23
1996,5,0,20
1996,6,4.18571428571429,16
1996,7,0,16
1996,8,26.3971428571429,23
1996,9,1.42285714285714,14
1996,10,0,15
1996,11,0,4
1996,12,0,5
1996,13,0,5
1996,14,7.02571428571429,11
1996,15,6.59428571428572,11
1996,16,0,7
1996,17,0.804285714285714,4
1996,18,0,6
1996,19,2.50428571428571,5
1996,20,6.89142857142857,2
1996,21,0.987142857142857,4
1996,22,26.7071428571429,2
1996,23,5.58285714285714,4
1996,24,3.72857142857143,6
1996,25,4.98142857142857,6
1996,26,0.654285714285714,4
1996,27,0.805714285714286,6
1996,28,10.0314285714286,11
1996,29,9.00428571428571,16
1996,30,1.25428571428571,9
1996,31,8.14571428571429,12
1996,32,4.55571428571429,13
1996,33,15.51,27
1996,34,2.58285714285714,21
1996,35,1.29571428571429,19
1996,36,6.83714285714286,17
1996,37,36.2214285714286,24
1996,38,9.00571428571429,27
1996,39,3.04571428571429,30
1996,40,3.98857142857143,29
1996,41,2.02714285714286,25
1996,42,2.03714285714286,35
1996,43,0.597142857142857,33
1996,44,9.30285714285714,30
1996,45,2.37428571428571,29
1996,46,7.90428571428572,31
1996,47,7.94571428571429,29
1996,48,2.30714285714286,22
1996,49,0,27
1996,50,0,24
1996,51,0,26
1996,52,0,29
1997,1,0,22
1997,2,0,33
1997,3,0.95,24
1997,4,9.43571428571429,30
1997,5,2.47857142857143,20
1997,6,8.73571428571429,17
1997,7,0,24
1997,8,0,28
1997,9,0,18
1997,10,0,13
1997,11,0,9
1997,12,0,14
1997,13,0,11
1997,14,0,11
1997,15,0.95,19
1997,16,0,10
1997,17,0.818571428571429,8
